# Forecast Table - Braid Length 8
# CPU Frequency: 3.2 GHz
# Fit Quality (R²): 0.999883
Degree,Time_Seconds,Formatted_Time,Clock_Cycles,Formatted_Cycles,Status
5,1.250000,1.25s,4000000000,4.00G,measured
6,0.900000,0.90s,2880000000,2.88G,measured
7,0.940000,0.94s,3008000000,3.01G,measured
8,1.020000,1.02s,3264000000,3.26G,measured
9,1.140000,1.14s,3647999999,3.65G,measured
10,0.710000,0.71s,2272000000,2.27G,measured
11,0.870000,0.87s,2784000000,2.78G,measured
12,1.170000,1.17s,3744000000,3.74G,measured
13,1.640000,1.64s,5248000000,5.25G,measured
14,2.420000,2.42s,7744000000,7.74G,measured
15,3.620000,3.62s,11584000000,11.58G,measured
16,5.480000,5.48s,17536000000,17.54G,measured
17,8.370000,8.37s,26783999999,26.78G,measured
18,12.690000,12.69s,40608000000,40.61G,measured
19,19.630000,19.63s,62816000000,62.82G,measured
20,30.030000,30.03s,96096000000,96.10G,measured
21,45.240000,45.24s,144768000000,144.77G,measured
22,67.340000,1.12m,215488000000,215.49G,measured
23,99.460000,1.66m,318272000000,318.27G,measured
24,146.530000,2.44m,468896000000,468.90G,measured
25,219.640000,3.66m,702848000000,702.85G,measured
26,327.210634,5.45m,1047074029080,1.05T,predicted
27,487.666348,8.13m,1560532313201,1.56T,predicted
28,726.847737,12.11m,2325912758236,2.33T,predicted
29,1083.380612,18.06m,3466817956882,3.47T,predicted
30,1614.842073,26.91m,5167494634397,5.17T,predicted
31,2407.058739,40.12m,7702587966322,7.70T,predicted
32,3587.967030,59.80m,11481494496019,11.48T,predicted
33,5348.273838,1.49h,17114476280304,17.11T,predicted
34,7972.254109,2.21h,25511213149214,25.51T,predicted
35,11883.658891,3.30h,38027708452364,38.03T,predicted
36,17714.147610,4.92h,56685272351244,56.69T,predicted
37,26405.295826,7.33h,84496946642622,84.50T,predicted
38,39360.651879,10.93h,125954086014184,125.95T,predicted
39,58672.398303,16.30h,187751674568787,187.75T,predicted
40,87459.221943,1.01d,279869510219152,279.87T,predicted
41,130369.956020,1.51d,417183859263859,417.18T,predicted
42,194334.328122,2.25d,621869849989222,621.87T,predicted
43,289682.053730,3.35d,926982571934860,926.98T,predicted
44,431810.999577,5.00d,1381795198647477,1.38P,predicted
45,643673.811395,7.45d,2059756196465465,2.06P,predicted
46,959484.575795,11.11d,3070350642544459,3.07P,predicted
47,1430244.111434,16.55d,4576781156589871,4.58P,predicted
48,2131976.178156,24.68d,6822323770100093,6.82P,predicted
49,3178004.683553,36.78d,10169614987369184,10.17P,predicted
50,4737254.553968,54.83d,15159214572697026,15.16P,predicted
