Name,Fibered,Crossing Number,Braid Notation,Montesinos Notation
10_94,Y,10,{1;1;1;-2;1;-2;-2;1;1;-2},Not Montesinos
10_96,Y,10,{1;-2;-1;3;-2;-1;3;-4;3;-2;3;-4},Not Montesinos
10_99,Y,10,{1;1;-2;1;1;-2;-2;1;-2;-2},Not Montesinos
10_100,Y,10,{-1;-1;-1;2;-1;-1;2;-1;-1;2},Not Montesinos
10_104,Y,10,{-1;-1;-1;2;2;-1;2;-1;2;2},Not Montesinos
10_105,Y,10,{1;1;-2;1;3;2;2;-4;-3;2;-3;-4},Not Montesinos
10_106,Y,10,{1;1;1;-2;1;-2;1;1;-2;-2},Not Montesinos
10_107,Y,10,{1;1;4;-3;2;-3;4;-2;-2;-3;1;-2},Not Montesinos
10_109,Y,10,{1;1;-2;1;-2;-2;1;1;-2;-2},Not Montesinos
10_110,Y,10,{1;-4;-3;2;-3;-4;2;2;2;3;1;-2},Not Montesinos
10_112,Y,10,{-1;-1;-1;2;-1;2;-1;2;-1;2},Not Montesinos
10_115,Y,10,{1;-2;1;3;2;2;-4;-3;2;-3;-3;-4},Not Montesinos
10_116,Y,10,{-1;-1;2;-1;-1;2;-1;2;-1;2},Not Montesinos
10_118,Y,10,{1;1;-2;1;-2;-2;1;-2;1;-2},Not Montesinos
10_123,Y,10,{1;-2;1;-2;1;-2;1;-2;1;-2},Not Montesinos
10_124,Y,10,{1;1;1;1;1;2;1;1;1;2},K(1/5;1/3;-1/2)
10_125,Y,10,{-1;-1;-1;-1;-1;2;1;1;1;2},K(1/5;2/3;-1/2)
10_126,Y,10,{-1;-1;-1;-1;-1;-2;1;1;1;-2},K(4/5;1/3;-1/2)
10_127,Y,10,{1;1;1;1;1;2;-1;-1;2;2},K(4/5;2/3;-1/2)
10_132,Y,10,{1;1;1;-2;-1;-1;-2;-3;2;-3;-3},K(2/7;1/3;-1/2)
10_133,Y,10,{1;1;1;2;-1;-1;2;3;-2;3;3},K(2/7;2/3;-1/2)
10_136,Y,10,{-1;-1;-2;3;-2;1;-2;-2;3;2;2},K(2/5;2/5;-1/2)
10_137,Y,10,{1;-2;1;-2;3;2;2;-4;3;-4},K(2/5;3/5;-1/2)
