# Forecast Table - Braid Length 14
# CPU Frequency: 3.2 GHz
# Fit Quality (R²): 0.999937
Degree,Time_Seconds,Formatted_Time,Clock_Cycles,Formatted_Cycles,Status
5,1.140000,1.14s,3647999999,3.65G,measured
6,0.960000,0.96s,3072000000,3.07G,measured
7,1.090000,1.09s,3488000000,3.49G,measured
8,1.170000,1.17s,3744000000,3.74G,measured
9,0.740000,0.74s,2368000000,2.37G,measured
10,0.930000,0.93s,2976000000,2.98G,measured
11,1.150000,1.15s,3679999999,3.68G,measured
12,1.570000,1.57s,5024000000,5.02G,measured
13,2.230000,2.23s,7136000000,7.14G,measured
14,3.270000,3.27s,10464000000,10.46G,measured
15,4.870000,4.87s,15584000000,15.58G,measured
16,7.230000,7.23s,23136000000,23.14G,measured
17,10.790000,10.79s,34528000000,34.53G,measured
18,16.140000,16.14s,51648000000,51.65G,measured
19,24.070000,24.07s,77024000000,77.02G,measured
20,35.570000,35.57s,113824000000,113.82G,measured
21,51.920000,51.92s,166144000000,166.14G,measured
22,75.930000,1.27m,242976000000,242.98G,measured
23,110.620000,1.84m,353984000000,353.98G,measured
24,161.600000,2.69m,517120000000,517.12G,measured
25,234.920000,3.92m,751744000000,751.74G,measured
26,343.799377,5.73m,1100158006580,1.10T,predicted
27,502.197683,8.37m,1607032586970,1.61T,predicted
28,733.599684,12.23m,2347518989415,2.35T,predicted
29,1071.651821,17.86m,3429285827639,3.43T,predicted
30,1565.507738,26.09m,5009624762181,5.01T,predicted
31,2286.975347,38.12m,7318321109473,7.32T,predicted
32,3340.957879,55.68m,10691065213599,10.69T,predicted
33,4880.707087,1.36h,15618262679504,15.62T,predicted
34,7130.106438,1.98h,22816340600184,22.82T,predicted
35,10416.224339,2.89h,33331917885388,33.33T,predicted
36,15216.870726,4.23h,48693986323604,48.69T,predicted
37,22230.071841,6.18h,71136229892343,71.14T,predicted
38,32475.565035,9.02h,103921808112112,103.92T,predicted
39,47443.071179,13.18h,151817827773083,151.82T,predicted
40,69308.903886,19.25h,221788492435049,221.79T,predicted
41,101252.411065,1.17d,324007715407909,324.01T,predicted
42,147918.260227,1.71d,473338432725718,473.34T,predicted
43,216091.784999,2.50d,691493711998114,691.49T,predicted
44,315685.589964,3.65d,1010193887884438,1.01P,predicted
45,461180.868672,5.34d,1475778779750155,1.48P,predicted
46,673733.006166,7.80d,2155945619729970,2.16P,predicted
47,984247.625982,11.39d,3149592403143115,3.15P,predicted
48,1437874.346733,16.64d,4601197909545895,4.60P,predicted
49,2100571.651938,24.31d,6721829286201583,6.72P,predicted
50,3068697.421952,35.52d,9819831750246208,9.82P,predicted
