Braid length: 14, Degree: 11, Time taken: 1.15 seconds, Max memory: 22.109375 MiB
Braid length: 14, Degree: 12, Time taken: 1.57 seconds, Max memory: 22.125 MiB
Braid length: 14, Degree: 13, Time taken: 2.23 seconds, Max memory: 22.125 MiB
Braid length: 14, Degree: 14, Time taken: 3.27 seconds, Max memory: 22.125 MiB
Braid length: 14, Degree: 15, Time taken: 4.87 seconds, Max memory: 22.140625 MiB
Braid length: 14, Degree: 16, Time taken: 7.23 seconds, Max memory: 22.09375 MiB
Braid length: 14, Degree: 17, Time taken: 10.79 seconds, Max memory: 22.109375 MiB
Braid length: 14, Degree: 18, Time taken: 16.14 seconds, Max memory: 22.140625 MiB
Braid length: 14, Degree: 19, Time taken: 24.07 seconds, Max memory: 22.140625 MiB
Braid length: 14, Degree: 20, Time taken: 35.57 seconds, Max memory: 22.15625 MiB
Braid length: 14, Degree: 21, Time taken: 51.92 seconds, Max memory: 22.15625 MiB
Braid length: 14, Degree: 22, Time taken: 75.93 seconds, Max memory: 22.15625 MiB
Braid length: 14, Degree: 23, Time taken: 110.62 seconds, Max memory: 22.15625 MiB
Braid length: 14, Degree: 24, Time taken: 161.60 seconds, Max memory: 21.703125 MiB
Braid length: 14, Degree: 25, Time taken: 234.92 seconds, Max memory: 19.875 MiB
