19,
1,
0,
1,1,2,3,2,3,1,1,2,3,1,1,1,1,1,1,2,3,1,1,2,3,2,3,
0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-3.0,-2.0,-1.0,1.0,
/
0,0,0,0,-1,0,0,0,1,0,0,
0,0,0,0,0,-1,0,1,0,1,-1,
0,-1,-1,0,0,-1,0,0,1,1,0,
0,0,-1,-1,0,-1,0,0,1,1,0,
0,0,0,0,-1,-1,0,0,1,1,0,
0,1,0,0,0,0,0,1,-1,0,0,
0,0,0,0,0,0,1,-1,0,0,1,
0,0,0,0,0,0,0,1,0,0,-1,
0,0,0,-1,-1,-1,0,0,1,1,0,
0,0,0,-1,0,-1,0,0,1,1,0,
0,0,-1,0,0,-1,0,0,1,1,0,
0,-1,0,0,0,-1,0,0,1,1,-1,
0,-1,0,0,0,-1,0,0,1,1,0,
/
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,-1,0,1,0,1,-1,
0,0,0,0,0,-1,0,1,0,1,-1,
0,0,0,0,0,-1,0,1,0,1,-1,
0,-1,0,0,0,-1,0,0,1,1,0,
0,-1,0,0,0,-1,0,0,1,1,0,
0,0,-1,0,0,-1,0,0,1,1,0,
0,0,0,-1,0,-1,0,0,1,1,0,
0,0,0,0,-1,-1,0,0,1,1,0,
0,0,0,0,-1,-1,0,0,1,1,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,-1,0,1,0,1,-1,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,1,-1,0,0,1,
0,0,0,0,0,0,0,0,0,0,1,
0,1,0,0,0,0,0,1,-1,0,0,
0,1,0,0,0,0,0,0,0,0,0,
0,0,1,0,0,0,0,0,0,0,0,
0,0,0,1,0,0,0,0,0,0,0,
0,0,0,0,1,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,-1,-1,0,0,1,1,0,
0,0,0,0,0,0,0,0,0,1,0,
0,0,0,0,0,-1,0,1,0,1,-1,
-1,0,0,0,0,0,0,-1,0,0,1,
-1,0,0,0,0,0,0,-1,0,0,1,
-1,0,0,0,0,0,-1,0,0,0,0,
-1,0,0,0,0,0,0,-1,0,0,0,
-1,0,0,0,0,0,0,-1,0,0,0,
-1,0,0,0,0,0,0,0,-1,0,0,
-1,0,0,0,0,0,0,0,-1,0,0,
-1,0,0,0,0,0,0,0,-1,0,0,
-1,0,0,0,0,0,0,0,-1,0,0,
-1,0,0,0,1,0,0,0,-1,0,0,
-1,0,0,0,1,0,0,0,-1,0,0,
-1,0,0,0,0,-1,0,0,0,0,0,
-1,0,0,0,0,0,0,-1,0,0,1,
