# Forecast Table - Crossing Number 8 (Braid Length 9)
# Reference CPU: 3.2 GHz (M1 2020)
# Target CPU: 3.2 GHz
# Fit Quality (R²): 0.983538

Degree,Ground_Truth_Time_Seconds,Ground_Truth_Formatted_Time,Ground_Truth_Cycles,Ground_Truth_Formatted_Cycles,Predicted_Time_Seconds,Predicted_Formatted_Time,Status
5,1.260000,1.26s,4032000000,4.03G,1.260000,1.26s,measured
6,0.890000,0.89s,2848000000,2.85G,0.890000,0.89s,measured
7,0.910000,0.91s,2912000000,2.91G,0.910000,0.91s,measured
8,0.960000,0.96s,3072000000,3.07G,0.960000,0.96s,measured
9,1.070000,1.07s,3424000000,3.42G,1.070000,1.07s,measured
10,0.650000,0.65s,2080000000,2.08G,0.650000,0.65s,measured
11,0.810000,0.81s,2592000000,2.59G,0.810000,0.81s,measured
12,1.100000,1.10s,3520000000,3.52G,1.100000,1.10s,measured
13,1.600000,1.60s,5120000000,5.12G,1.600000,1.60s,measured
14,2.440000,2.44s,7808000000,7.81G,2.440000,2.44s,measured
15,3.830000,3.83s,12256000000,12.26G,3.830000,3.83s,measured
16,6.150000,6.15s,19680000000,19.68G,6.150000,6.15s,measured
17,9.860000,9.86s,31552000000,31.55G,9.860000,9.86s,measured
18,15.920000,15.92s,50944000000,50.94G,15.920000,15.92s,measured
19,25.520000,25.52s,81664000000,81.66G,25.520000,25.52s,measured
20,40.450000,40.45s,129440000000,129.44G,40.450000,40.45s,measured
21,64.170000,1.07m,205344000000,205.34G,64.170000,1.07m,measured
22,101.450000,1.69m,324640000000,324.64G,101.450000,1.69m,measured
23,156.610000,2.61m,501152000000,501.15G,156.610000,2.61m,measured
24,243.450000,4.06m,779040000000,779.04G,243.450000,4.06m,measured
25,901.720000,15.03m,2885504000000,2.89T,901.720000,15.03m,measured
26,2681.826300,44.70m,8581844159800,8.58T,2681.826300,44.70m,predicted
27,8129.980808,2.26h,26015938584437,26.02T,8129.980808,2.26h,predicted
28,24700.121629,6.86h,79040389212603,79.04T,24700.121629,6.86h,predicted
29,75096.924152,20.86h,240310157285310,240.31T,75096.924152,20.86h,predicted
30,228374.903615,2.64d,730799691568390,730.80T,228374.903615,2.64d,predicted
31,694558.030567,8.04d,2222585697813307,2.22P,694558.030567,8.04d,predicted
32,2112417.977671,24.45d,6759737528547007,6.76P,2112417.977671,24.45d,predicted
33,6424729.413626,74.36d,20559134123604192,20.56P,6424729.413626,74.36d,predicted
34,19540291.326952,226.16d,62528932246247280,62.53P,19540291.326952,226.16d,predicted
35,59430259.121957,687.85d,190176829190261504,190.18P,59430259.121957,687.85d,predicted
36,180752512.884469,2092.04d,578408041230299648,578.41P,180752512.884469,2092.04d,predicted
37,549744770.127125,6362.79d,1759183264406798848,1759.18P,549744770.127125,6362.79d,predicted
38,1672006199.358008,19351.92d,5350419837945626624,5350.42P,1672006199.358008,19351.92d,predicted
39,5085277591.421696,58857.38d,16272888292549427200,16272.89P,5085277591.421696,58857.38d,predicted
40,15466478702.346960,179010.17d,49492731847510269952,49492.73P,15466478702.346960,179010.17d,predicted
41,47040099468.646271,544445.60d,150528318299668054016,150528.32P,47040099468.646263,544445.60d,predicted
42,143068826553.504913,1655889.20d,457820244971215716352,457820.24P,143068826553.504913,1655889.20d,predicted
43,435132777463.472961,5036259.00d,1392424887883113431040,1392424.89P,435132777463.472961,5036259.00d,predicted
44,1323422709139.438965,15317392.47d,4234952669246204674048,4234952.67P,1323422709139.438965,15317392.47d,predicted
45,4025087876163.558105,46586665.23d,12880281203723384913920,12880281.20P,4025087876163.557617,46586665.23d,predicted
46,12241993657072.396484,141689741.40d,39174379702631664713728,39174379.70P,12241993657072.394531,141689741.40d,predicted
47,37233077465842.273438,430938396.60d,119145847890695270957056,119145847.89P,37233077465842.273438,430938396.60d,predicted
48,113241527190073.906250,1310665823.96d,362372887008236483379200,362372887.01P,113241527190073.906250,1310665823.96d,predicted
49,344415351970479.000000,3986288795.95d,1102129126305532836052992,1102129126.31P,344415351970479.000000,3986288795.95d,predicted
50,1047512671511848.250000,12123989253.61d,3352040548837914304315392,3352040548.84P,1047512671511848.250000,12123989253.61d,predicted
