# Forecast Table - Crossing Number 210 (Braid Length 12)
# Reference CPU: 3.2 GHz (M1 2020)
# Target CPU: 3.2 GHz
# Fit Quality (R²): 0.999948

Degree,Ground_Truth_Time_Seconds,Ground_Truth_Formatted_Time,Ground_Truth_Cycles,Ground_Truth_Formatted_Cycles,Predicted_Time_Seconds,Predicted_Formatted_Time,Status
5,0.950000,0.95s,3040000000,3.04G,0.950000,0.95s,measured
6,0.900000,0.90s,2880000000,2.88G,0.900000,0.90s,measured
7,0.960000,0.96s,3072000000,3.07G,0.960000,0.96s,measured
8,1.130000,1.13s,3615999999,3.62G,1.130000,1.13s,measured
9,0.820000,0.82s,2624000000,2.62G,0.820000,0.82s,measured
10,1.420000,1.42s,4544000000,4.54G,1.420000,1.42s,measured
11,2.890000,2.89s,9248000000,9.25G,2.890000,2.89s,measured
12,6.240000,6.24s,19968000000,19.97G,6.240000,6.24s,measured
13,13.620000,13.62s,43584000000,43.58G,13.620000,13.62s,measured
14,29.210000,29.21s,93472000000,93.47G,29.210000,29.21s,measured
15,61.620000,1.03m,197184000000,197.18G,61.620000,1.03m,measured
16,124.830000,2.08m,399456000000,399.46G,124.830000,2.08m,measured
17,250.710000,4.18m,802272000000,802.27G,250.710000,4.18m,measured
18,488.780000,8.15m,1564096000000,1.56T,488.780000,8.15m,measured
19,923.710000,15.40m,2955872000000,2.96T,923.710000,15.40m,measured
20,1746.760000,29.11m,5589632000000,5.59T,1746.760000,29.11m,measured
21,3179.620000,52.99m,10174784000000,10.17T,3179.620000,52.99m,measured
22,5800.590000,1.61h,18561888000000,18.56T,5800.590000,1.61h,measured
23,10345.250000,2.87h,33104800000000,33.10T,10345.250000,2.87h,measured
24,18010.170000,5.00h,57632543999999,57.63T,18010.170000,5.00h,measured
25,32290.370000,8.97h,103329184000000,103.33T,32290.370000,8.97h,measured
26,57347.123338,15.93h,183510794682143,183.51T,57347.123338,15.93h,predicted
27,101917.879865,1.18d,326137215569170,326.14T,101917.879865,1.18d,predicted
28,181112.928764,2.10d,579561372043959,579.56T,181112.928764,2.10d,predicted
29,321829.763269,3.72d,1029855242461062,1.03P,321829.763269,3.72d,predicted
30,571860.892597,6.62d,1829954856308990,1.83P,571860.892597,6.62d,predicted
31,1016125.900778,11.76d,3251602882489379,3.25P,1016125.900778,11.76d,predicted
32,1805513.198373,20.90d,5777642234792749,5.78P,1805513.198373,20.90d,predicted
33,3208127.165552,37.13d,10266006929765126,10.27P,3208127.165552,37.13d,predicted
34,5700346.063575,65.98d,18241107403439416,18.24P,5700346.063575,65.98d,predicted
35,10128617.263638,117.23d,32411575243640472,32.41P,10128617.263638,117.23d,predicted
36,17996941.284798,208.30d,57590212111353632,57.59P,17996941.284798,208.30d,predicted
37,31977684.582790,370.11d,102328590664928288,102.33P,31977684.582790,370.11d,predicted
38,56819211.525337,657.63d,181821476881079904,181.82P,56819211.525337,657.63d,predicted
39,100958600.088887,1168.50d,323067520284437568,323.07P,100958600.088887,1168.50d,predicted
40,179387177.658612,2076.24d,574038968507556800,574.04P,179387177.658612,2076.24d,predicted
41,318742116.179213,3689.14d,1019974771773480960,1019.97P,318742116.179213,3689.14d,predicted
42,566353375.899127,6555.02d,1812330802877206016,1812.33P,566353375.899127,6555.02d,predicted
43,1006318665.905831,11647.21d,3220219730898659328,3220.22P,1006318665.905831,11647.21d,predicted
44,1788066057.481001,20695.21d,5721811383939203072,5721.81P,1788066057.481001,20695.21d,predicted
45,3177105143.326301,36772.05d,10166736458644162560,10166.74P,3177105143.326301,36772.05d,predicted
46,5645203665.686932,65338.01d,18064651730198181888,18064.65P,5645203665.686932,65338.01d,predicted
47,10030616846.750690,116095.10d,32097973909602209792,32097.97P,10030616846.750690,116095.10d,predicted
48,17822789077.482101,206282.28d,57032925047942725632,57032.93P,17822789077.482101,206282.28d,predicted
49,31668222920.651611,366530.36d,101338313346085158912,101338.31P,31668222920.651611,366530.36d,predicted
50,56269326775.820122,651265.36d,180061845682624397312,180061.85P,56269326775.820122,651265.36d,predicted
