# Forecast Table - Crossing Number 9 (Braid Length 8)
# Reference CPU: 3.2 GHz (M1 2020)
# Target CPU: 3.2 GHz
# Fit Quality (R²): 0.995073

Degree,Ground_Truth_Time_Seconds,Ground_Truth_Formatted_Time,Ground_Truth_Cycles,Ground_Truth_Formatted_Cycles,Predicted_Time_Seconds,Predicted_Formatted_Time,Status
5,1.240000,1.24s,3968000000,3.97G,1.240000,1.24s,measured
6,1.280000,1.28s,4096000000,4.10G,1.280000,1.28s,measured
7,1.260000,1.26s,4032000000,4.03G,1.260000,1.26s,measured
8,0.900000,0.90s,2880000000,2.88G,0.900000,0.90s,measured
9,0.900000,0.90s,2880000000,2.88G,0.900000,0.90s,measured
10,0.940000,0.94s,3008000000,3.01G,0.940000,0.94s,measured
11,0.990000,0.99s,3168000000,3.17G,0.990000,0.99s,measured
12,1.060000,1.06s,3392000000,3.39G,1.060000,1.06s,measured
13,1.180000,1.18s,3776000000,3.78G,1.180000,1.18s,measured
14,0.690000,0.69s,2208000000,2.21G,0.690000,0.69s,measured
15,0.800000,0.80s,2560000000,2.56G,0.800000,0.80s,measured
16,0.980000,0.98s,3136000000,3.14G,0.980000,0.98s,measured
17,1.230000,1.23s,3936000000,3.94G,1.230000,1.23s,measured
18,1.600000,1.60s,5120000000,5.12G,1.600000,1.60s,measured
19,2.100000,2.10s,6720000000,6.72G,2.100000,2.10s,measured
20,2.830000,2.83s,9056000000,9.06G,2.830000,2.83s,measured
21,3.840000,3.84s,12288000000,12.29G,3.840000,3.84s,measured
22,5.280000,5.28s,16896000000,16.90G,5.280000,5.28s,measured
23,7.250000,7.25s,23200000000,23.20G,7.250000,7.25s,measured
24,10.090000,10.09s,32288000000,32.29G,10.090000,10.09s,measured
25,13.750000,13.75s,44000000000,44.00G,13.750000,13.75s,measured
26,19.988441,19.99s,63963012288,63.96G,19.988441,19.99s,predicted
27,28.735289,28.74s,91952925125,91.95G,28.735289,28.74s,predicted
28,41.485745,41.49s,132754385553,132.75G,41.485745,41.49s,predicted
29,60.072343,1.00m,192231497280,192.23G,60.072343,1.00m,predicted
30,87.166401,1.45m,278932482544,278.93G,87.166401,1.45m,predicted
31,126.661955,2.11m,405318257300,405.32G,126.661955,2.11m,predicted
32,184.235422,3.07m,589553350040,589.55G,184.235422,3.07m,predicted
33,268.161425,4.47m,858116560275,858.12G,268.161425,4.47m,predicted
34,390.502053,6.51m,1249606568067,1.25T,390.502053,6.51m,predicted
35,568.840452,9.48m,1820289447774,1.82T,568.840452,9.48m,predicted
36,828.807935,13.81m,2652185390733,2.65T,828.807935,13.81m,predicted
37,1207.767776,20.13m,3864856883993,3.86T,1207.767776,20.13m,predicted
38,1760.185180,29.34m,5632592576192,5.63T,1760.185180,29.34m,predicted
39,2565.455170,42.76m,8209456545405,8.21T,2565.455170,42.76m,predicted
40,3739.313476,1.04h,11965803122066,11.97T,3739.313476,1.04h,predicted
41,5450.470401,1.51h,17441505282741,17.44T,5450.470401,1.51h,predicted
42,7944.858360,2.21h,25423546753227,25.42T,7944.858360,2.21h,predicted
43,11580.977994,3.22h,37059129582062,37.06T,11580.977994,3.22h,predicted
44,16881.422916,4.69h,54020553331521,54.02T,16881.422916,4.69h,predicted
45,24607.988375,6.84h,78745562799526,78.75T,24607.988375,6.84h,predicted
46,35871.158669,9.96h,114787707741070,114.79T,35871.158669,9.96h,predicted
47,52289.709156,14.52h,167327069299993,167.33T,52289.709156,14.52h,predicted
48,76223.361321,21.17h,243914756228619,243.91T,76223.361321,21.17h,predicted
49,111111.928763,1.29d,355558172041714,355.56T,111111.928763,1.29d,predicted
50,161969.697136,1.87d,518303030833850,518.30T,161969.697136,1.87d,predicted
