# Forecast Table - Crossing Number 1 (Braid Length 7)
# Reference CPU: 3.2 GHz (M1 2020)
# Target CPU: 3.2 GHz
# Fit Quality (R²): 0.997874

Degree,Ground_Truth_Time_Seconds,Ground_Truth_Formatted_Time,Ground_Truth_Cycles,Ground_Truth_Formatted_Cycles,Predicted_Time_Seconds,Predicted_Formatted_Time,Status
5,1.240000,1.24s,3968000000,3.97G,1.240000,1.24s,measured
6,1.240000,1.24s,3968000000,3.97G,1.240000,1.24s,measured
7,1.260000,1.26s,4032000000,4.03G,1.260000,1.26s,measured
8,0.890000,0.89s,2848000000,2.85G,0.890000,0.89s,measured
9,0.920000,0.92s,2944000000,2.94G,0.920000,0.92s,measured
10,0.950000,0.95s,3040000000,3.04G,0.950000,0.95s,measured
11,1.020000,1.02s,3264000000,3.26G,1.020000,1.02s,measured
12,1.100000,1.10s,3520000000,3.52G,1.100000,1.10s,measured
13,0.640000,0.64s,2048000000,2.05G,0.640000,0.64s,measured
14,0.750000,0.75s,2400000000,2.40G,0.750000,0.75s,measured
15,0.930000,0.93s,2976000000,2.98G,0.930000,0.93s,measured
16,1.200000,1.20s,3840000000,3.84G,1.200000,1.20s,measured
17,1.720000,1.72s,5504000000,5.50G,1.720000,1.72s,measured
18,2.170000,2.17s,6944000000,6.94G,2.170000,2.17s,measured
19,3.030000,3.03s,9696000000,9.70G,3.030000,3.03s,measured
20,4.260000,4.26s,13632000000,13.63G,4.260000,4.26s,measured
21,6.090000,6.09s,19488000000,19.49G,6.090000,6.09s,measured
22,8.790000,8.79s,28127999999,28.13G,8.790000,8.79s,measured
23,12.700000,12.70s,40640000000,40.64G,12.700000,12.70s,measured
24,17.940000,17.94s,57408000000,57.41G,17.940000,17.94s,measured
25,25.260000,25.26s,80832000000,80.83G,25.260000,25.26s,measured
26,37.195983,37.20s,119027144756,119.03G,37.195983,37.20s,predicted
27,54.246099,54.25s,173587517214,173.59G,54.246099,54.25s,predicted
28,79.278712,1.32m,253691879895,253.69G,79.278712,1.32m,predicted
29,116.031056,1.93m,371299378369,371.30G,116.031056,1.93m,predicted
30,169.990054,2.83m,543968172356,543.97G,169.990054,2.83m,predicted
31,249.211492,4.15m,797476773457,797.48G,249.211492,4.15m,predicted
32,365.522699,6.09m,1169672636691,1.17T,365.522699,6.09m,predicted
33,536.288306,8.94m,1716122579644,1.72T,536.288306,8.94m,predicted
34,787.002689,13.12m,2518408606031,2.52T,787.002689,13.12m,predicted
35,1155.096142,19.25m,3696307655044,3.70T,1155.096142,19.25m,predicted
36,1695.523015,28.26m,5425673646762,5.43T,1695.523015,28.26m,predicted
37,2488.966099,41.48m,7964691515753,7.96T,2488.966099,41.48m,predicted
38,3653.882130,1.01h,11692422817241,11.69T,3653.882130,1.01h,predicted
39,5364.186736,1.49h,17165397555154,17.17T,5364.186736,1.49h,predicted
40,7875.219089,2.19h,25200701084103,25.20T,7875.219089,2.19h,predicted
41,11561.862659,3.21h,36997960507774,37.00T,11561.862659,3.21h,predicted
42,16974.513275,4.72h,54318442479360,54.32T,16974.513275,4.72h,predicted
43,24921.250229,6.92h,79748000731346,79.75T,24921.250229,6.92h,predicted
44,36588.478116,10.16h,117083129970360,117.08T,36588.478116,10.16h,predicted
45,53718.050589,14.92h,171897761883400,171.90T,53718.050589,14.92h,predicted
46,78867.319630,21.91h,252375422815731,252.38T,78867.319630,21.91h,predicted
47,115790.934292,1.34d,370530989734688,370.53T,115790.934292,1.34d,predicted
48,170001.389374,1.97d,544004445998272,544.00T,170001.389374,1.97d,predicted
49,249592.010908,2.89d,798694434906489,798.69T,249592.010908,2.89d,predicted
50,366445.245704,4.24d,1172624786253764,1.17P,366445.245704,4.24d,predicted
