# Forecast Table - Crossing Number 8 (Braid Length 10)
# Reference CPU: 3.2 GHz (M1 2020)
# Target CPU: 3.2 GHz
# Fit Quality (R²): 0.999872

Degree,Ground_Truth_Time_Seconds,Ground_Truth_Formatted_Time,Ground_Truth_Cycles,Ground_Truth_Formatted_Cycles,Predicted_Time_Seconds,Predicted_Formatted_Time,Status
5,0.910000,0.91s,2912000000,2.91G,0.910000,0.91s,measured
6,0.910000,0.91s,2912000000,2.91G,0.910000,0.91s,measured
7,0.950000,0.95s,3040000000,3.04G,0.950000,0.95s,measured
8,1.030000,1.03s,3296000000,3.30G,1.030000,1.03s,measured
9,1.200000,1.20s,3840000000,3.84G,1.200000,1.20s,measured
10,0.790000,0.79s,2528000000,2.53G,0.790000,0.79s,measured
11,1.030000,1.03s,3296000000,3.30G,1.030000,1.03s,measured
12,1.500000,1.50s,4800000000,4.80G,1.500000,1.50s,measured
13,2.280000,2.28s,7295999999,7.30G,2.280000,2.28s,measured
14,3.650000,3.65s,11680000000,11.68G,3.650000,3.65s,measured
15,5.830000,5.83s,18656000000,18.66G,5.830000,5.83s,measured
16,9.490000,9.49s,30368000000,30.37G,9.490000,9.49s,measured
17,15.520000,15.52s,49664000000,49.66G,15.520000,15.52s,measured
18,24.930000,24.93s,79776000000,79.78G,24.930000,24.93s,measured
19,40.200000,40.20s,128640000000,128.64G,40.200000,40.20s,measured
20,64.850000,1.08m,207519999999,207.52G,64.850000,1.08m,measured
21,102.630000,1.71m,328416000000,328.42G,102.630000,1.71m,measured
22,160.910000,2.68m,514912000000,514.91G,160.910000,2.68m,measured
23,250.840000,4.18m,802688000000,802.69G,250.840000,4.18m,measured
24,387.030000,6.45m,1238496000000,1.24T,387.030000,6.45m,measured
25,591.200000,9.85m,1891840000000,1.89T,591.200000,9.85m,measured
26,917.488043,15.29m,2935961738517,2.94T,917.488043,15.29m,predicted
27,1417.814741,23.63m,4537007172691,4.54T,1417.814741,23.63m,predicted
28,2190.730337,36.51m,7010337078030,7.01T,2190.730337,36.51m,predicted
29,3384.747206,56.41m,10831191058855,10.83T,3384.747206,56.41m,predicted
30,5229.290507,1.45h,16733729620844,16.73T,5229.290507,1.45h,predicted
31,8078.781227,2.24h,25852099925131,25.85T,8078.781227,2.24h,predicted
32,12480.736638,3.47h,39938357241862,39.94T,12480.736638,3.47h,predicted
33,19280.973364,5.36h,61699114764492,61.70T,19280.973364,5.36h,predicted
34,29786.127370,8.27h,95315607585213,95.32T,29786.127370,8.27h,predicted
35,46014.718396,12.78h,147247098866726,147.25T,46014.718396,12.78h,predicted
36,71084.999756,19.75h,227471999218603,227.47T,71084.999756,19.75h,predicted
37,109814.117181,1.27d,351405174978559,351.41T,109814.117181,1.27d,predicted
38,169643.702457,1.96d,542859847861667,542.86T,169643.702457,1.96d,predicted
39,262069.750668,3.03d,838623202137150,838.62T,262069.750668,3.03d,predicted
40,404851.525746,4.69d,1295524882388601,1.30P,404851.525746,4.69d,predicted
41,625423.925943,7.24d,2001356563017156,2.00P,625423.925943,7.24d,predicted
42,966168.980426,11.18d,3091740737364573,3.09P,966168.980426,11.18d,predicted
43,1492559.372205,17.27d,4776189991057067,4.78P,1492559.372205,17.27d,predicted
44,2305738.729943,26.69d,7378363935816841,7.38P,2305738.729943,26.69d,predicted
45,3561955.937129,41.23d,11398258998813344,11.40P,3561955.937129,41.23d,predicted
46,5502587.676752,63.69d,17608280565605754,17.61P,5502587.676752,63.69d,predicted
47,8500517.913089,98.39d,27201657321883804,27.20P,8500517.913089,98.39d,predicted
48,13131785.926715,151.99d,42021714965489048,42.02P,13131785.926715,151.99d,predicted
49,20286269.761619,234.79d,64916063237180600,64.92P,20286269.761619,234.79d,predicted
50,31338672.428295,362.72d,100283751770543504,100.28P,31338672.428295,362.72d,predicted
